Time,GSR
24.01.17 01:05:32.884,340330.000
24.01.17 01:05:32.962,340330.000
24.01.17 01:05:33.061,340330.000
24.01.17 01:05:33.138,340330.000
24.01.17 01:05:33.336,340330.000
24.01.17 01:05:34.481,340330.000
24.01.17 01:05:34.555,340330.000
24.01.17 01:05:34.588,340330.000
24.01.17 01:05:34.610,340330.000
24.01.17 01:05:34.636,340330.000
24.01.17 01:05:34.663,340330.000
24.01.17 01:05:34.721,340330.000
24.01.17 01:05:34.994,340330.000
24.01.17 01:05:35.103,340330.000
24.01.17 01:05:35.289,340330.000
24.01.17 01:05:35.491,340330.000
24.01.17 01:05:35.674,340330.000
24.01.17 01:05:35.883,340330.000
24.01.17 01:05:36.068,340330.000
24.01.17 01:05:36.273,340330.000
24.01.17 01:05:37.040,340330.000
24.01.17 01:05:37.155,340330.000
24.01.17 01:05:37.234,340330.000
24.01.17 01:05:37.264,340330.000
24.01.17 01:05:37.346,340330.000
24.01.17 01:05:37.526,340330.000
24.01.17 01:05:37.722,340330.000
24.01.17 01:05:38.325,340330.000
24.01.17 01:05:38.405,340330.000
24.01.17 01:05:38.600,340330.000
24.01.17 01:05:38.616,340330.000
24.01.17 01:05:38.726,340330.000
24.01.17 01:05:39.021,340330.000
24.01.17 01:05:39.184,340330.000
24.01.17 01:05:39.282,340330.000
24.01.17 01:05:39.900,340330.000
24.01.17 01:05:39.984,340330.000
24.01.17 01:05:40.095,340330.000
24.01.17 01:05:40.176,340330.000
24.01.17 01:05:40.325,340330.000
24.01.17 01:05:40.452,340330.000
24.01.17 01:05:40.662,340330.000
24.01.17 01:05:40.842,340330.000
24.01.17 01:05:41.061,340330.000
24.01.17 01:05:41.231,340330.000
24.01.17 01:05:41.441,340330.000
24.01.17 01:05:41.720,340330.000
24.01.17 01:05:41.914,340330.000
24.01.17 01:05:42.112,340330.000
24.01.17 01:05:42.305,340330.000
24.01.17 01:05:42.891,340330.000
24.01.17 01:05:43.184,340330.000
24.01.17 01:05:43.199,340330.000
24.01.17 01:05:43.308,340330.000
24.01.17 01:05:43.394,340330.000
24.01.17 01:05:43.480,340330.000
24.01.17 01:05:43.669,340330.000
24.01.17 01:05:43.864,340330.000
24.01.17 01:05:44.060,340330.000
24.01.17 01:05:44.659,340330.000
24.01.17 01:05:44.845,340330.000
24.01.17 01:05:44.955,340330.000
24.01.17 01:05:45.147,340330.000
24.01.17 01:05:45.327,340330.000
24.01.17 01:05:45.343,340330.000
24.01.17 01:05:45.452,340330.000
24.01.17 01:05:45.619,340330.000
24.01.17 01:05:45.831,340330.000
24.01.17 01:05:46.009,340330.000
24.01.17 01:05:46.303,340330.000
24.01.17 01:05:46.889,340330.000
24.01.17 01:05:47.082,340330.000
24.01.17 01:05:47.182,340330.000
24.01.17 01:05:47.206,340330.000
24.01.17 01:05:47.291,340330.000
24.01.17 01:05:47.473,340330.000
24.01.17 01:05:48.059,340330.000
24.01.17 01:05:48.098,340330.000
24.01.17 01:05:48.253,340330.000
24.01.17 01:05:48.285,340330.000
24.01.17 01:05:48.447,340330.000
24.01.17 01:05:48.646,340330.000
24.01.17 01:05:48.838,340330.000
24.01.17 01:05:49.032,340330.000
24.01.17 01:05:49.232,340330.000
24.01.17 01:05:49.521,340330.000
24.01.17 01:05:49.622,340330.000
24.01.17 01:05:50.220,340330.000
24.01.17 01:05:50.322,340330.000
24.01.17 01:05:50.409,340330.000
24.01.17 01:05:50.602,340330.000
24.01.17 01:05:50.713,340330.000
24.01.17 01:05:50.895,340330.000
24.01.17 01:05:51.080,340330.000
24.01.17 01:05:51.373,340330.000
24.01.17 01:05:51.471,340330.000
24.01.17 01:05:52.086,340330.000
24.01.17 01:05:52.161,340330.000
24.01.17 01:05:52.187,340330.000
24.01.17 01:05:52.261,340330.000
24.01.17 01:05:52.850,340330.000
24.01.17 01:05:52.944,340330.000
24.01.17 01:05:53.128,340330.000
24.01.17 01:05:53.140,340330.000
24.01.17 01:05:53.236,340330.000
24.01.17 01:05:53.419,340330.000
24.01.17 01:05:53.622,340330.000
24.01.17 01:05:53.810,340330.000
24.01.17 01:05:54.015,340330.000
24.01.17 01:05:54.201,340330.000
24.01.17 01:05:54.405,340330.000
24.01.17 01:05:54.592,340330.000
24.01.17 01:05:54.791,340330.000
24.01.17 01:05:55.510,340330.000
24.01.17 01:05:55.589,340330.000
24.01.17 01:05:55.674,340330.000
24.01.17 01:05:55.875,340330.000
24.01.17 01:05:55.890,340330.000
